name	class	file_path	line_number
SAMtoPAF	task	wdl/tasks/Alignment/AlignReads.wdl	147
RaconPolish	task	wdl/tasks/Assembly/Racon.wdl	3
MosDepthOverBed	task	wdl/tasks/QC/AlignedMetrics.wdl	212
CoverageTrack	task	wdl/tasks/QC/AlignedMetrics.wdl	390
FilterMQ0Reads	task	wdl/tasks/QC/AlignedMetrics.wdl	522
ComputeBedCoverage	task	wdl/tasks/QC/AlignedMetrics.wdl	566
AggregateUmiAdjustmentStats	task	wdl/tasks/Transcriptomics/Postprocessing_Tasks.wdl	72
MergeBarcodeCounts	task	wdl/tasks/Transcriptomics/Postprocessing_Tasks.wdl	182
CreateCountMatrixAnndataFromTsv	task	wdl/tasks/Transcriptomics/Postprocessing_Tasks.wdl	240
SubsetCountsMatrixByGenes	task	wdl/tasks/Transcriptomics/Postprocessing_Tasks.wdl	425
SplitBamBySampleAndCellBarcodeTask	task	wdl/tasks/Transcriptomics/Preprocessing_Tasks.wdl	5
DownsampleToIsoSeqEquivalent	task	wdl/tasks/Transcriptomics/Preprocessing_Tasks.wdl	52
DemuxMasSeqDataByIndex	task	wdl/tasks/Transcriptomics/Preprocessing_Tasks.wdl	95
MergeDemuxMasSeqByIndexLogs	task	wdl/tasks/Transcriptomics/Preprocessing_Tasks.wdl	138
SplitBamByContig	task	wdl/tasks/Transcriptomics/Preprocessing_Tasks.wdl	227
Run_Group	task	wdl/tasks/Transcriptomics/UMI_Tools.wdl	5
AssignChildLongReadsGivenParentalKmerStats	workflow	wdl/tasks/Utility/AssignChildLongReads.wdl	8
GetReadGroupLines	task	wdl/tasks/Utility/BAMutils.wdl	63
GatherBamMetadata	task	wdl/tasks/Utility/BAMutils.wdl	105
CountReadGroups	task	wdl/tasks/Utility/BAMutils.wdl	166
ValidateSamFile	task	wdl/tasks/Utility/BAMutils.wdl	244
CountAlignmentRecords	task	wdl/tasks/Utility/BAMutils.wdl	498
StreamingBamErrored	task	wdl/tasks/Utility/BAMutils.wdl	574
CountAlignmentRecordsByFlag	task	wdl/tasks/Utility/BAMutils.wdl	607
GetDuplicateReadnamesInQnameSortedBam	task	wdl/tasks/Utility/BAMutils.wdl	713
ResetSamplename	task	wdl/tasks/Utility/BAMutils.wdl	776
DeduplicateQuerynameSortedBam	task	wdl/tasks/Utility/BAMutils.wdl	1108
GetPileup	task	wdl/tasks/Utility/BAMutils.wdl	1277
SamtoolsReset	task	wdl/tasks/Utility/BAMutils.wdl	1431
QuerynameSortBamWithSamtools	task	wdl/tasks/Utility/BAMutils.wdl	1509
QuerynameSortBamWithPicard	task	wdl/tasks/Utility/BAMutils.wdl	1580
SplitNameSortedUbam	task	wdl/tasks/Utility/BAMutils.wdl	1648
SplitByRG	task	wdl/tasks/Utility/BAMutils.wdl	1722
ShardAlignedBam	task	wdl/tasks/Utility/BAMutils.wdl	1802
MergeBamsQuerynameSortedWithPicard	task	wdl/tasks/Utility/BAMutils.wdl	1997
CollectAllelicCounts	task	wdl/tasks/Utility/cnv_common_tasks.wdl	289
FinalizeTarGzContents	task	wdl/tasks/Utility/Finalize.wdl	147
WriteNamedFile	task	wdl/tasks/Utility/Finalize.wdl	247
CoerceMapToArrayOfPairs	task	wdl/tasks/Utility/GeneralUtils.wdl	85
Unzip	task	wdl/tasks/Utility/GeneralUtils.wdl	251
SendEmailNotification	task	wdl/tasks/Utility/GeneralUtils.wdl	284
MASIsoSeqReport	task	wdl/tasks/Utility/JupyterNotebooks.wdl	5
FindSequencingSummaryFiles	task	wdl/tasks/Utility/ONTUtils.wdl	5
FindBams	task	wdl/tasks/Utility/PBUtils.wdl	5
ExtractUncorrectedReads	task	wdl/tasks/Utility/PBUtils.wdl	418
PolishTranscripts	task	wdl/tasks/Utility/PBUtils.wdl	850
SummarizeXMLMetadata	task	wdl/tasks/Utility/PBUtils.wdl	1185
SplitSoftClippedReads	task	wdl/tasks/Utility/SoftClipper.wdl	3
SplitSoftClippedReadsAssisted	task	wdl/tasks/Utility/SoftClipper.wdl	61
GetDefaultDir	task	wdl/tasks/Utility/Utils.wdl	5
PrepareManifest	task	wdl/tasks/Utility/Utils.wdl	54
EchoManifest	task	wdl/tasks/Utility/Utils.wdl	101
SortBam	task	wdl/tasks/Utility/Utils.wdl	201
FilterListOfStrings	task	wdl/tasks/Utility/Utils.wdl	600
FilterReadsBySamFlags	task	wdl/tasks/Utility/Utils.wdl	652
DownsampleSam	task	wdl/tasks/Utility/Utils.wdl	715
GrepCountUniqueBamRecords	task	wdl/tasks/Utility/Utils.wdl	843
FilterReadsWithTagValues	task	wdl/tasks/Utility/Utils.wdl	1436
ExcludeRegionsFromBam	task	wdl/tasks/Utility/Utils.wdl	1576
SelectFirstNReads	task	wdl/tasks/Utility/Utils.wdl	1637
SplitBam	task	wdl/tasks/Utility/Utils.wdl	1791
FilterBamOnTag	task	wdl/tasks/Utility/Utils.wdl	1906
ListBamContigs	task	wdl/tasks/Utility/Utils.wdl	2025
ShardReads	task	wdl/tasks/Utility/Utils.wdl	2444
FailWithWarning	task	wdl/tasks/Utility/Utils.wdl	2622
ZipAndIndexVCF	task	wdl/tasks/Utility/VariantUtils.wdl	385
IndexVCF	task	wdl/tasks/Utility/VariantUtils.wdl	439
CompressAndIndex	task	wdl/tasks/VariantCalling/GLNexus.wdl	266
Sniffles2	workflow	wdl/tasks/VariantCalling/Sniffles2.wdl	7
NanoPlotFromUBam	task	wdl/tasks/Visualization/NanoPlot.wdl	262
